Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,6,"Live trees, plants, bulbs, roots, cut flowers etc",1,No Quantity,,,,,,,1004466944,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1369992650,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1297773554,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1630283419,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1756722892,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,7,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,2016773248,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,2859048297,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,3018979745,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,2974014060,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,3129439077,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,8,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,3356100864,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,2341261570,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,2191985727,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,1960964324,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,2916235867,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,9,"Coffee, tea, mate and spices",1,No Quantity,,,,,,,3647055104,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,395173870,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,570647027,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,647812799,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,945870921,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,,,,,790336832,,,0
H0,1991,1991,1991,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,11,"Milling products, malt, starches, inulin, wheat glute",1,No Quantity,,,,,,,119732533,,,0
H0,1992,1992,1992,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,11,"Milling products, malt, starches, inulin, wheat glute",1,No Quantity,,,,,,,149126659,,,0
H0,1993,1993,1993,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,11,"Milling products, malt, starches, inulin, wheat glute",1,No Quantity,,,,,,,171296591,,,0
H0,1994,1994,1994,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,11,"Milling products, malt, starches, inulin, wheat glute",1,No Quantity,,,,,,,241406697,,,0
H0,1995,1995,1995,2,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,11,"Milling products, malt, starches, inulin, wheat glute",1,No Quantity,,,,,,,245904000,,,0
